epoch,loss/train,loss/val,step
0,7.560337066650391,,9
0,5.494732856750488,,19
0,4.732817649841309,,29
0,3.206455707550049,,39
0,2.953327178955078,,49
0,2.5863771438598633,,59
0,2.047959089279175,,69
0,3.054210662841797,,79
0,1.8062572479248047,,89
0,0.9460639357566833,,99
0,0.14297601580619812,,109
0,0.18109460175037384,,119
0,-0.3307749032974243,,129
0,-0.17959648370742798,,139
0,0.14783212542533875,,149
0,-1.1833593845367432,,159
0,-1.4666037559509277,,169
0,-1.2519134283065796,,179
0,-2.0033435821533203,,189
0,-1.1345216035842896,,199
0,-1.3104140758514404,,209
0,-1.3948945999145508,,219
0,-2.630354881286621,,229
0,-2.0830986499786377,,239
0,-2.0954041481018066,,249
0,-2.468301773071289,,259
0,-1.836130142211914,,269
0,-2.451463222503662,,279
0,-3.1205639839172363,,289
0,-2.3772919178009033,,299
0,-3.269857883453369,,309
0,-2.608139753341675,,319
0,-3.123213291168213,,329
0,-3.620765209197998,,339
0,-3.287003993988037,,349
0,-3.6394882202148438,,359
0,-2.572634220123291,,369
0,-3.182262897491455,,379
0,-3.673414945602417,,389
0,-3.5360960960388184,,399
0,-3.224949359893799,,409
0,-3.4660825729370117,,419
0,-4.375050067901611,,429
0,-2.1105079650878906,,439
0,-3.1284537315368652,,449
0,-3.6235756874084473,,459
0,-4.271293640136719,,469
0,-4.152151107788086,,479
0,-3.7177958488464355,,489
0,-4.654412269592285,,499
0,-4.11488676071167,,509
0,-4.015120983123779,,519
0,-4.089132785797119,,529
0,-3.5508780479431152,,539
0,-3.874697685241699,,549
0,-3.595999240875244,,559
0,-4.104156017303467,,569
0,-3.4976911544799805,,579
0,-4.808821201324463,,589
0,-4.5723676681518555,,599
0,-3.6556992530822754,,609
0,-3.5150632858276367,,619
0,-3.455134391784668,,629
0,-4.358004570007324,,639
0,-4.168659210205078,,649
0,-4.534894943237305,,659
0,-4.918938636779785,,669
0,-5.064920425415039,,679
0,-3.4373440742492676,,689
0,-4.926954746246338,,699
0,-4.563571929931641,,709
0,-5.4565887451171875,,719
0,-4.870002746582031,,729
0,-4.739933967590332,,739
0,-3.5812807083129883,,749
0,-5.003920078277588,,759
0,-4.774738788604736,,769
0,-5.399825096130371,,779
0,-4.820525646209717,,789
0,-5.036535739898682,,799
0,-4.714038372039795,,809
0,-4.981820106506348,,819
0,-6.007240295410156,,829
0,-4.73681640625,,839
0,-4.524474143981934,,849
0,-5.450314044952393,,859
0,-5.273323059082031,,869
0,-4.515499591827393,,879
0,-5.634249210357666,,889
0,-4.889276504516602,,899
0,-4.765113830566406,,909
0,-5.120748519897461,,919
0,-5.453603744506836,,929
0,-5.050441741943359,,939
0,-5.313271999359131,,949
0,-4.305477619171143,,959
0,-5.755946159362793,,969
0,-5.726428031921387,,979
0,-4.903737545013428,,989
0,-5.576843738555908,,999
0,-4.899897575378418,,1009
0,-4.767923355102539,,1019
0,-5.4612812995910645,,1029
0,-5.479501724243164,,1039
0,-4.847728729248047,,1049
0,-2.60103178024292,,1059
0,-4.952757835388184,,1069
0,-5.914909839630127,,1079
0,-4.6443867683410645,,1089
0,-5.301977157592773,,1099
0,-5.523632049560547,,1109
0,-5.640141487121582,,1119
0,-5.894253253936768,,1129
0,-6.1996636390686035,,1139
0,-3.5837533473968506,,1149
0,-4.569423675537109,,1159
0,-5.755226135253906,,1169
0,-5.395293235778809,,1179
0,-6.148604869842529,,1189
0,-5.570819854736328,,1199
