epoch,loss/train,loss/val,step
0,7.024345397949219,,9
0,5.679908275604248,,19
0,3.418365955352783,,29
0,1.5012127161026,,39
0,0.2781789302825928,,49
0,-1.285746455192566,,59
0,-2.1893343925476074,,69
0,-3.446702480316162,,79
0,-3.7706196308135986,,89
0,-4.700736045837402,,99
0,-4.419981956481934,,109
0,-4.799726486206055,,119
0,-5.1663818359375,,129
0,-5.499479293823242,,139
0,-4.879331111907959,,149
0,-5.001469612121582,,159
0,-5.248796463012695,,169
0,-5.406390190124512,,179
0,-5.285104751586914,,189
0,-5.150209426879883,,199
0,-5.586969375610352,,209
0,-5.7172136306762695,,219
0,-6.189764022827148,,229
0,-6.147000312805176,,239
0,-6.4350266456604,,249
0,-5.812680244445801,,259
0,-6.1727752685546875,,269
0,-6.203337669372559,,279
0,-6.429538726806641,,289
0,-5.556125640869141,,299
0,-5.902721405029297,,309
0,-6.219887733459473,,319
0,-6.29959774017334,,329
0,-6.509441375732422,,339
0,-6.036795139312744,,349
0,-6.250370979309082,,359
0,-6.731150150299072,,369
0,-6.570368766784668,,379
0,-3.4506101608276367,,389
0,-6.106618881225586,,399
0,-5.66042947769165,,409
0,-6.365716934204102,,419
0,-6.69902229309082,,429
0,-6.440620422363281,,439
0,-6.552207946777344,,449
0,-6.378042221069336,,459
0,-7.014163970947266,,469
0,-6.9592604637146,,479
0,-7.259922027587891,,489
0,-7.211149215698242,,499
0,-6.339573860168457,,509
0,-6.0691022872924805,,519
0,-6.598904609680176,,529
0,-6.718785285949707,,539
0,-6.869787216186523,,549
0,-7.133317947387695,,559
0,-6.483403205871582,,569
0,-6.476518630981445,,579
0,-6.812315940856934,,589
0,-6.978078842163086,,599
0,-6.413090705871582,,609
0,-6.973761558532715,,619
0,-7.090773582458496,,629
0,-6.805421829223633,,639
0,-7.101649284362793,,649
0,-6.692752361297607,,659
0,-7.001012802124023,,669
0,-7.10629940032959,,679
0,-7.728138446807861,,689
0,-7.730943202972412,,699
0,-7.507867813110352,,709
0,-6.6637372970581055,,719
