epoch,loss/train,loss/val,step
0,10.493180274963379,,9
0,12.44277286529541,,19
0,7.886992931365967,,29
0,7.839044094085693,,39
0,7.0256547927856445,,49
0,6.511585235595703,,59
0,8.552831649780273,,69
0,6.8228230476379395,,79
0,6.458815574645996,,89
0,6.481176376342773,,99
0,6.178025245666504,,109
0,5.79950475692749,,119
0,5.805523872375488,,129
0,6.215064525604248,,139
0,6.3149824142456055,,149
0,5.979394435882568,,159
0,5.692282676696777,,169
0,5.701855659484863,,179
0,5.446351051330566,,189
0,5.577413558959961,,199
0,5.549123764038086,,209
0,5.072300910949707,,219
0,4.957875728607178,,229
0,4.943766117095947,,239
0,4.929121971130371,,249
0,4.8332014083862305,,259
0,4.635237216949463,,269
0,4.446422576904297,,279
0,,4.527698993682861,286
1,4.310827732086182,,289
1,4.68239688873291,,299
1,3.9450812339782715,,309
1,4.47369384765625,,319
1,4.003015518188477,,329
1,4.003750801086426,,339
1,3.807219982147217,,349
1,3.8155717849731445,,359
1,4.055108070373535,,369
1,3.4127657413482666,,379
1,3.6326804161071777,,389
1,3.154370069503784,,399
1,4.173826217651367,,409
1,3.710886001586914,,419
1,3.2662978172302246,,429
1,3.279676675796509,,439
1,2.3233211040496826,,449
1,2.5741615295410156,,459
1,3.5547068119049072,,469
1,2.8551318645477295,,479
1,3.344886541366577,,489
1,4.0646820068359375,,499
1,3.563042640686035,,509
1,3.0933051109313965,,519
1,2.310210704803467,,529
1,2.267878532409668,,539
1,3.24104642868042,,549
1,2.756909132003784,,559
1,2.2491455078125,,569
1,,2.1725728511810303,573
2,2.3890652656555176,,579
2,2.489976167678833,,589
2,2.2668392658233643,,599
2,2.0745701789855957,,609
2,1.9164915084838867,,619
2,1.8905532360076904,,629
2,1.7614132165908813,,639
2,2.0790066719055176,,649
2,1.747551441192627,,659
2,3.949545383453369,,669
2,2.7822344303131104,,679
2,2.2398526668548584,,689
2,3.4276795387268066,,699
2,2.257633686065674,,709
2,2.428135871887207,,719
2,1.0622074604034424,,729
2,1.9613630771636963,,739
2,1.3832776546478271,,749
2,1.383952260017395,,759
2,1.1102036237716675,,769
2,1.6052147150039673,,779
2,1.6136763095855713,,789
2,1.4638640880584717,,799
2,1.3518028259277344,,809
2,2.0312604904174805,,819
2,0.617364764213562,,829
2,0.9871892333030701,,839
2,0.3804078996181488,,849
2,2.8804707527160645,,859
2,,3.0935730934143066,860
3,1.685460090637207,,869
3,1.1332694292068481,,879
3,0.001033484935760498,,889
3,1.244782567024231,,899
3,0.5256508588790894,,909
3,2.5294270515441895,,919
3,1.6494358777999878,,929
3,0.7322052717208862,,939
3,0.39432260394096375,,949
3,0.2253466248512268,,959
3,-0.042796872556209564,,969
3,1.7917237281799316,,979
3,1.0669100284576416,,989
3,0.2101147323846817,,999
3,0.16734573245048523,,1009
3,0.19226118922233582,,1019
3,-0.25937825441360474,,1029
3,7.950371265411377,,1039
3,5.987929344177246,,1049
3,4.623366355895996,,1059
3,3.9429149627685547,,1069
3,3.8138270378112793,,1079
3,3.6651358604431152,,1089
3,3.3266654014587402,,1099
3,3.287118673324585,,1109
3,2.723538398742676,,1119
3,2.5912652015686035,,1129
3,2.6403236389160156,,1139
3,,2.025888442993164,1147
4,1.9669950008392334,,1149
4,1.9521818161010742,,1159
4,1.4554780721664429,,1169
4,0.6925506591796875,,1179
4,0.4418433904647827,,1189
4,2.2842540740966797,,1199
4,0.7016775608062744,,1209
4,0.9076389670372009,,1219
4,0.1209859848022461,,1229
4,-0.20883235335350037,,1239
4,-0.562323808670044,,1249
4,0.6173177361488342,,1259
4,0.879900336265564,,1269
4,0.3825201988220215,,1279
4,0.11330893635749817,,1289
4,1.2909624576568604,,1299
4,0.5943227410316467,,1309
4,-0.6407420039176941,,1319
4,0.3453749120235443,,1329
4,4.182211399078369,,1339
4,2.5671257972717285,,1349
4,0.5580339431762695,,1359
4,0.39858949184417725,,1369
4,-0.24965257942676544,,1379
4,-0.8616086840629578,,1389
4,1.025314211845398,,1399
4,1.0017255544662476,,1409
4,0.12365621328353882,,1419
4,0.42754584550857544,,1429
4,,4.089146614074707,1434
5,3.325697422027588,,1439
5,2.6136972904205322,,1449
5,1.0030063390731812,,1459
5,1.022067666053772,,1469
5,0.575510561466217,,1479
5,-0.5204072594642639,,1489
5,-1.0730632543563843,,1499
5,1.269928216934204,,1509
5,0.08893133699893951,,1519
5,-0.38317686319351196,,1529
5,-0.673550009727478,,1539
5,1.4508310556411743,,1549
5,0.07407134771347046,,1559
5,1.1652507781982422,,1569
5,-0.27815139293670654,,1579
5,-0.18196161091327667,,1589
5,-0.8131080269813538,,1599
5,-0.9341312050819397,,1609
5,2.73581600189209,,1619
5,0.1881861835718155,,1629
5,0.10747602581977844,,1639
5,-0.2960173785686493,,1649
5,-0.7656583189964294,,1659
5,-0.27241891622543335,,1669
5,0.3615238666534424,,1679
5,-0.6798883676528931,,1689
5,-1.148168683052063,,1699
5,-1.0758419036865234,,1709
5,6.018688201904297,,1719
5,,4.983983993530273,1721
6,4.346917152404785,,1729
6,3.961172342300415,,1739
6,2.9004757404327393,,1749
6,2.2375450134277344,,1759
6,2.348041296005249,,1769
6,1.4559605121612549,,1779
6,1.305147409439087,,1789
6,0.5675175189971924,,1799
6,0.5395799279212952,,1809
6,-0.858859658241272,,1819
6,0.07170320302248001,,1829
6,0.20618392527103424,,1839
6,-0.5867495536804199,,1849
6,-0.7953102588653564,,1859
6,-1.3746142387390137,,1869
6,-1.2257153987884521,,1879
6,-0.05933848023414612,,1889
6,-0.29021286964416504,,1899
6,-1.2691924571990967,,1909
6,-1.2670955657958984,,1919
