MAE/train,MAE/val,epoch,loss/train,loss/val,step
,,0,0.6142597198486328,,9
,,0,0.5994539260864258,,19
,,0,0.5974726676940918,,29
,,0,0.5702986717224121,,39
,,0,0.5911588668823242,,49
,,0,0.5839755535125732,,59
,,0,0.5728485584259033,,69
,,0,0.5885173082351685,,79
,,0,0.5815602540969849,,89
,,0,0.5685758590698242,,99
,,0,0.5796124935150146,,109
,,0,0.5703868865966797,,119
,,0,0.552850604057312,,129
,,0,0.556857705116272,,139
,,0,0.5536988377571106,,149
,,0,0.5564548373222351,,159
,,0,0.5675816535949707,,169
,,0,0.5362830758094788,,179
,,0,0.5496904253959656,,189
,,0,0.5415772795677185,,199
,,0,0.5662733316421509,,209
,,0,0.5540479421615601,,219
,,0,0.5298342704772949,,229
,,0,0.564799964427948,,239
,,0,0.5467535257339478,,249
,,0,0.5684574842453003,,259
,,0,0.5453111529350281,,269
,,0,0.5425342917442322,,279
,0.5481936931610107,0,,0.5481935739517212,286
0.566483199596405,,0,,,286
,,1,0.5525996685028076,,289
,,1,0.5622519850730896,,299
,,1,0.5607907772064209,,309
,,1,0.54539954662323,,319
,,1,0.5284698009490967,,329
,,1,0.5316751003265381,,339
,,1,0.5581846237182617,,349
,,1,0.536346971988678,,359
,,1,0.5375012159347534,,369
,,1,0.5530025959014893,,379
,,1,0.5366671085357666,,389
,,1,0.5151481032371521,,399
,,1,0.5398829579353333,,409
,,1,0.5215541124343872,,419
,,1,0.497068852186203,,429
,,1,0.5080165863037109,,439
,,1,0.5313941240310669,,449
,,1,0.491159051656723,,459
,,1,0.5022921562194824,,469
,,1,0.4999736249446869,,479
,,1,0.4997278153896332,,489
,,1,0.4950096309185028,,499
,,1,0.5011480450630188,,509
,,1,0.5016748309135437,,519
,,1,0.4870316982269287,,529
,,1,0.49685367941856384,,539
,,1,0.4829203486442566,,549
,,1,0.4841178059577942,,559
,,1,0.4905473589897156,,569
,0.4872303009033203,1,,0.48723044991493225,573
0.5189762711524963,,1,,,573
,,2,0.4818751811981201,,579
,,2,0.49764880537986755,,589
,,2,0.48427614569664,,599
,,2,0.48805660009384155,,609
,,2,0.49315810203552246,,619
,,2,0.486400306224823,,629
,,2,0.48366498947143555,,639
,,2,0.46987172961235046,,649
,,2,0.48789042234420776,,659
,,2,0.48184704780578613,,669
,,2,0.48705315589904785,,679
,,2,0.5107682943344116,,689
,,2,0.4996963143348694,,699
,,2,0.4748574197292328,,709
,,2,0.49853450059890747,,719
,,2,0.4836669862270355,,729
,,2,0.5124733448028564,,739
,,2,0.4715517461299896,,749
,,2,0.47079166769981384,,759
